Date,Year,Pitcher,PitcherThrows,Inning,PAofInning,BatterSide,PitchofPA,Balls,Strikes,PitchType,ReleaseSpeed,InducedVertBreak,HorzBreak,ReleaseHeight,ReleaseSide,Extension,PlateHeight,PlateSide,SpinRate,SpinAxis,swing_prob,whiff_prob_gs,whiff_prob
4/8/2019,2019,Pitcher X,Left,2,4,Right,4,1,2,SLIDER,86.43450165,0.608049989,4.62635994,5.381669998,-1.24951005,5.424399853,3.507200003,-1.353760004,2724.310059,-101.6230011,0.057175219,0.641503334,0.036678094
4/8/2019,2019,Pitcher X,Left,2,4,Right,5,2,2,SLIDER,85.06189728,-2.899339914,4.534689903,5.403860092,-1.157999992,5.578350067,1.618639946,0.629878998,1375.290039,-55.18209839,0.914339423,0.271955609,0.248659735
4/8/2019,2019,Pitcher X,Left,2,5,Right,1,0,0,CHANGEUP,87.96769714,1.29926002,-15.80270004,5.279970169,-1.204869986,6.343820095,2.043540001,-0.171682,1758.900024,97.63050079,0.68040663,0.204768702,0.139325983
4/8/2019,2019,Pitcher X,Left,2,5,Right,2,1,0,CHANGEUP,87.67900085,4.734379768,-12.48069954,5.340469837,-1.215510011,5.890059948,0.451301992,0.863864005,1737.859985,113.1220016,0.0443483,0.881062925,0.039073642
4/8/2019,2019,Pitcher X,Left,2,5,Right,3,2,0,FASTBALL,92.39600372,16.55999947,-4.868209839,5.367569923,-1.131510019,5.911640167,5.057219982,0.109909996,1942.790039,163.927002,0.001874816,0.688467562,0.00129075
4/8/2019,2019,Pitcher X,Left,2,5,Right,4,2,1,CHANGEUP,87.00650024,0.222188994,-11.62860012,5.380400181,-1.321660042,6.278409958,3.189970016,-0.92782402,1689.22998,94.57630157,0.339846164,0.151146382,0.051366518
4/8/2019,2019,Pitcher X,Left,2,5,Right,5,2,2,SLIDER,84.83699799,-0.458092988,2.043600082,5.44095993,-1.277009964,5.815559864,3.13132,-0.652835011,0,-84.08170319,0.770302892,0.314305365,0.242110332
4/8/2019,2019,Pitcher X,Left,2,5,Right,6,2,2,FASTBALL,93.27880096,9.646209717,-5.452770233,5.337920189,-1.177719951,6.080830097,4.576439857,0.55400902,2051.610107,150.6390076,0.023907995,0.707896054,0.016924375
4/8/2019,2019,Pitcher X,Left,2,5,Right,7,3,2,CHANGEUP,88.0463028,4.961200237,-15.42759991,5.216390133,-1.27402997,6.297379971,0.493030012,0.124165997,1769.51001,110.2139969,0.326138258,0.807967842,0.263509224
4/8/2019,2019,Pitcher X,Left,2,6,Right,1,0,0,FASTBALL,92.30169678,11.24209976,-7.235509872,5.394820213,-1.411170006,5.830860138,4.587619781,-2.358540058,1870.709961,147.7879944,3.38E-05,0.887741983,3.00E-05
4/8/2019,2019,Pitcher X,Left,2,6,Right,2,1,0,FASTBALL,91.95600128,17.19879913,-6.996669769,5.478759766,-1.159459949,5.9832201,4.912419796,-0.215728998,2012.859985,158.4429932,0.001321725,0.734934151,0.000971381
4/8/2019,2019,Pitcher X,Left,2,6,Right,3,2,0,FASTBALL,92.4437027,15.42720032,-9.134980202,5.401549816,-1.309769988,5.935279846,4.460849762,-1.805950046,2105.889893,150.1759949,0.000259792,0.832193434,0.000216197
4/8/2019,2019,Pitcher X,Left,2,6,Right,4,3,0,FASTBALL,91.39070129,15.89420033,-7.147640228,5.607089996,-1.200819969,6.006559849,2.95333004,-0.538537979,1871.079956,156.3509979,0.065110885,0.235876098,0.015358101
4/8/2019,2019,Pitcher X,Left,2,6,Right,5,3,1,FASTBALL,91.53289795,16.71269989,-10.02740002,5.486569881,-1.164809942,5.982600212,4.427539825,-0.441810012,1967.420044,149.9380035,0.031915344,0.713588417,0.02277442
4/8/2019,2019,Pitcher X,Left,2,7,Right,1,0,0,CHANGEUP,86.81220245,-0.245514005,-11.17940044,5.256259918,-1.200359941,6.018179893,2.210370064,0.00737122,1765.030029,92.41120148,0.665424466,0.132375747,0.088086061
4/8/2019,2019,Pitcher X,Left,2,7,Right,2,0,1,FASTBALL,91.97119904,14.27950001,-8.320400238,5.417980194,-1.215350032,5.947999954,3.371040106,-0.851453006,1965.01001,150.477005,0.361944318,0.463156611,0.167636904
4/8/2019,2019,Pitcher X,Left,2,7,Right,3,1,1,FASTBALL,91.25730133,13.14070034,-5.103159904,5.407849789,-1.07404995,5.995890141,3.427320004,0.107262999,1864.369995,158.9259949,0.808426857,0.289521694,0.234057113
4/8/2019,2019,Pitcher X,Left,2,7,Right,4,1,2,CHANGEUP,86.75279999,5.036029816,-13.1722002,5.302279949,-1.305809975,5.983419895,0.169936001,0.545509994,1821.48999,113.2419968,0.057297915,0.833161235,0.047738402
4/8/2019,2019,Pitcher X,Left,2,7,Right,5,2,2,CHANGEUP,86.70600128,3.369189978,-13.65180016,5.204929829,-1.361819983,6.10544014,2.516249895,-1.359719992,1716.109985,106.5130005,0.641177654,0.209964633,0.134624631
4/8/2019,2019,Pitcher X,Left,2,7,Right,6,2,2,FASTBALL,92.31919861,15.26550007,-5.718140125,5.447589874,-1.072460055,6.013529778,2.304889917,0.793458998,1992.640015,159.8179932,0.888324857,0.052355241,0.046508462
4/8/2019,2019,Pitcher X,Left,2,7,Right,7,2,2,FASTBALL,93.59529877,16.3939991,-8.749759674,5.504039764,-1.239150047,5.812260151,1.861960053,-0.337879002,1995.030029,152.6719971,0.782068133,0.085486092,0.066855948
4/8/2019,2019,Pitcher X,Left,3,1,Left,1,0,0,SLIDER,81.45690155,3.426229954,1.522050023,5.716730118,-1.182379961,5.264070034,3.618809938,-1.135699987,0,-164.5950012,0.075019874,0.351137638,0.026342301
4/8/2019,2019,Pitcher X,Left,3,1,Left,2,1,0,FASTBALL,91.29530334,18.56419945,-3.738960028,5.500100136,-1.101279974,5.77271986,3.227740049,0.294532001,1952.900024,168.9290009,0.734855771,0.292314261,0.214808822
4/8/2019,2019,Pitcher X,Left,3,1,Left,3,1,1,FASTBALL,90.98509979,14.13459969,-3.597419977,5.432229996,-1.045600057,5.950300217,2.560070038,0.528519988,1966.619995,165.6799927,0.805197299,0.170116544,0.136977381
4/8/2019,2019,Pitcher X,Left,3,2,Right,1,0,0,FASTBALL,91.95480347,13.72319984,-7.780829906,5.450829983,-1.049710035,6.040820122,0.751896024,1.47250998,1938.890015,151.0740051,0.005921482,0.552208722,0.003269894
4/8/2019,2019,Pitcher X,Left,3,2,Right,2,1,0,FASTBALL,91.14689636,14.49610043,-6.721980095,5.443180084,-1.140799999,5.712649822,1.883880019,-0.193441004,1819.47998,155.595993,0.518525958,0.06564007,0.03403608
4/8/2019,2019,Pitcher X,Left,3,3,Right,1,0,0,FASTBALL,91.04049683,12.56110001,-6.910769939,5.521639824,-1.10213995,5.651420116,3.31298995,0.075367503,1875.349976,151.6589966,0.511048079,0.184478328,0.094277295
4/8/2019,2019,Pitcher X,Left,3,3,Right,2,1,0,SLIDER,83.93869781,4.77617979,0.340398997,5.4457798,-1.140390038,5.705299854,0.132395998,0.592754006,2432.850098,178.8619995,0.10291516,0.966449082,0.099462262
4/8/2019,2019,Pitcher X,Left,3,3,Right,3,2,0,FASTBALL,92.06880188,16.07659912,-7.141059875,5.33878994,-1.139000058,5.797090054,2.233330011,0.109126002,1911.170044,156.6179962,0.756827116,0.060979385,0.046150852
4/8/2019,2019,Pitcher X,Left,4,1,Right,1,0,0,FASTBALL,90.25430298,15.05319977,-5.107120037,5.459859848,-1.153069973,5.891980171,2.788830042,0.173405007,1864.719971,161.5160065,0.622362196,0.113187596,0.070443681
4/8/2019,2019,Pitcher X,Left,4,2,Right,1,0,0,FASTBALL,89.1364975,15.16219997,-3.890949965,5.480450153,-1.161980033,5.822179794,1.346899986,1.477679968,1731.27002,165.6990051,0.053160362,0.558697999,0.029700588
4/8/2019,2019,Pitcher X,Left,4,2,Right,2,1,0,FASTBALL,91.68699646,13.24030018,-4.577050209,5.359179974,-1.198459983,5.940889835,1.454069972,0.356584013,1927.780029,160.9869995,0.343651801,0.089037776,0.030597992
4/8/2019,2019,Pitcher X,Left,4,2,Right,3,2,0,CHANGEUP,85.01239777,5.908070087,-12.30830002,5.334139824,-1.172780037,6.036459923,2.590970039,0.219536006,1841.660034,117.7480011,0.63527894,0.170380697,0.108239268
4/8/2019,2019,Pitcher X,Left,4,2,Right,4,2,1,FASTBALL,91.07180023,17.35199928,-9.122200012,5.529429913,-1.200109959,5.839419842,2.876280069,-0.86611402,1825.709961,153.0789948,0.634027719,0.281183183,0.178277932
4/8/2019,2019,Pitcher X,Left,4,3,Right,1,0,0,FASTBALL,92.11650085,16.07259941,-9.221119881,5.508460045,-1.233890057,5.77944994,3.255769968,-0.364244014,1874.219971,150.9730072,0.52432698,0.343019307,0.179854277
4/8/2019,2019,Pitcher X,Left,4,4,Right,1,0,0,FASTBALL,92.11519623,14.89900017,-5.983689785,5.470240116,-1.120419979,5.862579823,1.840839982,0.436430007,1802.290039,158.4940033,0.373961538,0.063336395,0.023685376
4/8/2019,2019,Pitcher X,Left,4,4,Right,2,0,1,SLIDER,84.75039673,6.407219887,4.328000069,5.530560017,-1.102890015,5.617109776,0.815389991,0.824461997,2537.949951,-149.3339996,0.371040881,0.830906212,0.308300173
4/8/2019,2019,Pitcher X,Left,5,1,Right,1,0,0,CHANGEUP,84.72550201,7.174799919,-10.83969975,5.455339909,-1.175490022,5.795219898,2.423629999,0.390412986,1573.800049,125.2160034,0.514437258,0.140490353,0.072273472
4/8/2019,2019,Pitcher X,Left,5,1,Right,2,0,1,FASTBALL,91.29599762,16.14789963,-4.92565012,5.478819847,-1.083889961,5.979700089,4.070529938,0.935030997,1910.640015,163.3289948,0.065283477,0.492091209,0.032125425
4/8/2019,2019,Pitcher X,Left,5,1,Right,3,1,1,FASTBALL,90.00450134,15.70049953,-6.917029858,5.390940189,-1.33375001,5.957210064,2.083479881,-1.812940001,1804.650024,156.7559967,0.002603759,0.511989474,0.001333097
4/8/2019,2019,Pitcher X,Left,5,1,Right,4,2,1,CHANGEUP,86.02069855,2.013780117,-11.99170017,5.40681982,-1.154270053,6.004539967,2.741640091,-0.262798995,1759.869995,102.5279999,0.832001805,0.098417096,0.081883201
4/8/2019,2019,Pitcher X,Left,5,2,Right,1,0,0,FASTBALL,91.42259979,16.70599937,-5.659160137,5.532489777,-1.291129947,5.640979767,4.092420101,-1.157809973,1913.910034,161.6970062,0.009413835,0.673028767,0.006335782
